time_s,dpx,dpy,px,py,theta
148.043,5.38984e-07,-4.64273e-07,5.38984e-07,0,5.33647e-06
148.047,1.08945e-07,-9.38437e-08,6.47929e-07,-5.00794e-13,6.41514e-06
148.052,1.34761e-07,-1.16082e-07,7.8269e-07,-1.24547e-12,7.74941e-06
148.056,1.16673e-07,-1.005e-07,8.99363e-07,-2.02429e-12,8.90458e-06
148.059,1.00381e-06,-8.64671e-07,1.90318e-06,-9.72382e-12,1.88433e-05
148.063,1.11645e-06,-9.61693e-07,3.01962e-06,-2.78453e-11,2.98973e-05
148.067,7.57231e-07,-6.52268e-07,3.77686e-06,-4.73464e-11,3.73946e-05
148.072,9.27678e-07,-7.99089e-07,4.70453e-06,-7.7228e-11,4.65795e-05
148.076,8.7488e-07,-7.53609e-07,5.57941e-06,-1.12331e-10,5.52417e-05
148.079,0,0,5.57941e-06,-1.12331e-10,5.52417e-05
148.083,0,0,5.57941e-06,-1.12331e-10,5.52417e-05
148.087,1.2553e-06,-1.0813e-06,6.83471e-06,-1.72064e-10,6.76704e-05
148.092,1.488e-06,-1.28175e-06,8.32272e-06,-2.588e-10,8.24031e-05
148.095,9.5121e-07,-8.19359e-07,9.27393e-06,-3.26318e-10,9.18211e-05
148.099,1.43517e-06,-1.23623e-06,1.07091e-05,-4.3983e-10,0.000106031
148.103,1.27413e-06,-1.09752e-06,1.19832e-05,-5.562e-10,0.000118646
148.108,5.07483e-07,-4.37139e-07,1.24907e-05,-6.08065e-10,0.00012367
148.111,3.05743e-07,-2.63363e-07,1.27965e-05,-6.40635e-10,0.000126698
148.115,3.11642e-07,-2.68444e-07,1.31081e-05,-6.74647e-10,0.000129783
148.119,3.3764e-07,-2.90839e-07,1.34457e-05,-7.12393e-10,0.000133126
148.124,4.15993e-07,-3.58331e-07,1.38617e-05,-7.60096e-10,0.000137245
148.127,1.0546e-06,-9.08415e-07,1.49163e-05,-8.84771e-10,0.000147686
148.131,1.79308e-06,-1.54453e-06,1.67094e-05,-1.11288e-09,0.00016544
148.135,1.4589e-06,-1.25667e-06,1.81683e-05,-1.32078e-09,0.000179884
148.139,4.13012e-07,-3.55763e-07,1.85813e-05,-1.38478e-09,0.000183973
148.144,5.22817e-07,-4.50347e-07,1.91041e-05,-1.46763e-09,0.00018915
148.147,7.75767e-08,-6.68235e-08,1.91817e-05,-1.48027e-09,0.000189918
148.151,1.19144e-07,-1.02629e-07,1.93008e-05,-1.49976e-09,0.000191097
