t,x,y,theta,x_i,y_i,theta_i
148.042746,0,0,0,0,0,-2.08090912e-07
148.046796,0,0,0,0,0,-5.8459454e-06
148.051806,0,0,0,0,0,-1.28282554e-05
148.056144,0,0,0,0,0,-1.88766671e-05
148.059254,0,0,0,0,0,-1.45831739e-05
148.062713,0,0,0,0,0,-9.80863405e-06
148.066735,0,0,0,0,0,-9.4805794e-06
148.071662,0,0,0,0,0,-9.07267722e-06
148.076308,0,0,0,0,0,-8.68364143e-06
148.07913,0,0,0,0,0,-1.339718e-05
148.082808,0,0,0,0,0,-1.95437678e-05
148.086867,0,0,0,0,0,-1.39949233e-05
148.091677,0,0,0,0,0,-7.42063307e-06
148.094752,0,0,0,0,0,-3.21983177e-06
148.099021,0,0,0,0,0,3.25753949e-06
148.10281,0,0,0,0,0,9.00988872e-06
148.108201,0,0,0,0,0,4.68315738e-06
148.111448,0,0,0,0,0,2.07723287e-06
148.114759,0,0,0,0,0,-5.78926565e-07
148.118943,0,0,0,0,0,-4.01290713e-06
148.124098,0,0,0,0,0,-8.24036399e-06
148.126802,0,0,0,0,0,-2.49324102e-06
148.131399,0,0,0,0,0,7.27553918e-06
148.13514,0,0,0,0,0,1.52238788e-05
148.138979,0,0,0,0,0,1.2450102e-05
148.143838,0,0,0,0,0,8.94349045e-06
148.146722,0,0,0,0,0,5.02854893e-06
148.151152,0,0,0,0,0,-9.92612828e-07
148.155913,0,0,0,0,0,-7.47725505e-06
148.158751,0,0,0,0,0,-6.61986925e-06
148.163643,0,0,0,0,0,-5.14430558e-06
148.166783,0,0,0,0,0,1.60698889e-07
148.171124,0,0,0,0,0,7.49787392e-06
148.175948,0,0,0,0,0,1.56587085e-05
148.178725,0,0,0,0,0,1.31891329e-05
148.183456,0,0,0,0,0,8.99042681e-06
148.186706,0,0,0,0,0,1.11154295e-05
148.1917,0,0,0,0,0,1.43869462e-05
148.195966,0,0,0,0,0,1.62133696e-05
148.198807,0,0,0,0,0,1.74274786e-05
148.203385,0,0,0,0,0,1.93770956e-05
148.208608,0,0,0,0,0,1.42467388e-05
148.210904,0,0,0,0,0,1.1992144e-05
148.215746,0,0,0,0,0,-4.85870214e-08
148.218724,0,0,0,0,0,-7.45429252e-06
148.223448,0,0,0,0,0,-1.9208571e-05
148.226813,0,0,0,0,0,-1.73159237e-05
148.230727,0,0,0,0,0,-1.51153826e-05
148.235599,0,0,0,0,0,-8.93487375e-06
148.238829,0,0,0,0,0,-4.83568275e-06
148.243088,0,0,0,0,0,5.74268614e-07
148.246773,0,0,0,0,0,-5.24856249e-07
148.250724,0,0,0,0,0,-1.69737909e-06
148.255564,0,0,0,0,0,3.96937056e-06
148.258728,0,0,0,0,0,7.67737748e-06
148.262935,0,0,0,0,0,1.26128408e-05
148.267874,0,0,0,0,0,1.08542792e-05
148.270789,0,0,0,0,0,9.81487879e-06
148.27564,0,0,0,0,0,1.08174375e-05
148.278819,0,0,0,0,0,1.14757917e-05
148.290044,0,0,0,0,0,1.38342591e-05
148.290208,0,0,0,0,0,1.34963166e-05
148.291236,0,0,0,0,0,1.13688509e-05
148.295301,0,0,0,0,0,2.03036369e-05
148.298756,0,0,0,0,0,2.78977609e-05
148.302778,0,0,0,0,0,3.6740232e-05
148.308248,0,0,0,0,0,3.69967995e-05
148.310749,0,0,0,0,0,3.71144468e-05
148.315119,0,0,0,0,0,3.94675589e-05
148.318766,0,0,0,0,0,4.14382829e-05
148.322866,0,0,0,0,0,4.36601571e-05
148.327624,0,0,0,0,0,4.93761846e-05
148.33076,0,0,0,0,0,5.31435898e-05
148.338897,0,0,0,0,0,6.29091016e-05
148.343571,0,0,0,0,0,6.63059589e-05
148.344502,0,0,0,0,0,6.69831871e-05
148.349011,0,0,0,0,0,6.14683088e-05
148.350841,0,0,0,0,0,5.92304552e-05
148.355942,0,0,0,0,0,5.29997723e-05
148.359875,0,0,0,0,0,5.42959652e-05
148.362731,0,0,0,0,0,5.52399097e-05
148.367494,0,0,0,0,0,6.90160345e-05
148.370752,0,0,0,0,0,7.84369074e-05
148.374854,0,0,0,0,0,9.02982079e-05
148.37992,0,0,0,0,0,0.000101570228
148.382767,0,0,0,0,0,0.00010790427
148.387292,0,0,0,0,0,0.000112777453
148.391829,0,0,0,0,0,0.000117661114
148.394784,0,0,0,0,0,0.000120842647
148.399585,0,0,0,0,0,0.000124606981
148.402733,0,0,0,0,0,0.00012707057
148.408239,0,0,0,0,0,0.000129366763
148.410824,0,0,0,0,0,0.000130444552
148.414751,0,0,0,0,0,0.000132080242
148.419464,0,0,0,0,0,0.000136888723
148.422865,0,0,0,0,0,0.000140362522
148.426994,0,0,0,0,0,0.000139974692
148.431899,0,0,0,0,0,0.000139524142
148.434777,0,0,0,0,0,0.00013926258
148.439529,0,0,0,0,0,0.000142843718
148.443804,0,0,0,0,0,0.000146071441
148.446897,0,0,0,0,0,0.000146886047
148.451819,0,0,0,0,0,0.000148179749
148.454894,0,0,0,0,0,0.000148988319
148.459314,0,0,0,0,0,0.000149637746
148.462865,0,0,0,0,0,0.000150159965
148.466735,0,0,0,0,0,0.000148536583
148.471697,0,0,0,0,0,0.000146459265
148.475127,0,0,0,0,0,0.000145024898
148.479083,0,0,0,0,0,0.000146238735
148.482697,0,0,0,0,0,0.000147346873
148.486703,0,0,0,0,0,0.000149252427
148.491523,0,0,0,0,0,0.00015154781
148.494691,0,0,0,0,0,0.000153058411
148.498949,0,0,0,0,0,0.000136797135
148.502749,0,0,0,0,0,0.00012229322
148.506782,0,0,0,0,0,0.000121109777
148.511511,0,0,0,0,0,0.000119718957
148.514691,0,0,0,0,0,0.000118782922
148.51885,0,0,0,0,0,0.000130815668
148.524063,0,0,0,0,0,0.000145898186
148.526719,0,0,0,0,0,0.000140549412
148.53129,0,0,0,0,0,0.000131349703
148.5347,0,0,0,0,0,0.000124486784
148.538928,0,0,0,0,0,0.000123012525
148.543959,0,0,0,0,0,0.000121259807
148.546769,0,0,0,0,0,0.000124440677
148.551149,0,0,0,0,0,0.000129395425
148.554889,0,0,0,0,0,0.000133622834
148.558906,0,0,0,0,0,0.000137257353
148.564831,0,0,0,0,0,0.00014261634
148.56673,0,0,0,0,0,0.0001423786
148.571056,0,0,0,0,0,0.000141835787
148.574756,0,0,0,0,0,0.000141371179
148.578943,0,0,0,0,0,0.000135182548
148.583476,0,0,0,0,0,0.00012848394
148.586683,0,0,0,0,0,0.000137182156
148.590865,0,0,0,0,0,0.000148530631
148.595852,0,0,0,0,0,0.000149120348
148.598715,0,0,0,0,0,0.000149462649
148.603323,0,0,0,0,0,0.000150022961
148.607639,0,0,0,0,0,0.000145944275
148.610863,0,0,0,0,0,0.000142897325
148.615777,0,0,0,0,0,0.000137561
148.618723,0,0,0,0,0,0.000134361221
