time_s,ax,ay,az,gx,gy,gz,odo_rvel,odo_lvel,odo_rpos,odo_lpos,opt_sumx,opt_sumy
144.037,0.2478,0.0826,9.17219,-0.00253,-0.00785632,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.041,-0.00448913,-0.0646434,10.351,-0.00253,-0.00785632,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.045,-0.308852,0.00718261,9.93893,-0.00253,-0.00785632,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.049,-0.100556,0.0888847,9.18386,0.000532632,-0.000532632,0.000399474,0,0,0.062,0.095,-0.0259025,0.0323132
144.054,-0.471358,0.0960673,9.17847,0.000532632,-0.000532632,0.000399474,0,0,0.062,0.095,-0.0259025,0.0323132
144.057,-0.361824,-0.0421978,9.62559,0.00612527,0.00199737,0.00452737,0,0,0.062,0.095,-0.0259025,0.0323132
144.061,-0.00179565,0.0951695,9.66958,0.00612527,0.00199737,0.00452737,0,0,0.062,0.095,-0.0259025,0.0323132
144.066,0.109535,0.113126,10.2092,-0.00146474,0.000399474,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.069,0.201113,-0.205602,9.65522,-0.00146474,0.000399474,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.074,-0.0763152,0.0125696,9.70011,-0.00146474,0.000399474,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.077,0.422876,-0.0727239,9.59596,-0.00253,-0.00452737,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.081,-0.110433,-0.0493804,10.7057,-0.00253,-0.00452737,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.086,-0.280122,-0.166996,10.3115,0.00119842,0.00186421,0.00266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.089,0.543185,0.141856,9.7055,0.00119842,0.00186421,0.00266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.094,-0.358232,-0.178667,9.67497,0.00119842,0.00186421,0.00266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.097,0.0700304,0.0386065,9.73063,0.00492685,0.00452737,0.00426106,0,0,0.062,0.095,-0.0259025,0.0323132
144.101,0.308852,0.118513,9.60763,0.00492685,0.00452737,0.00426106,0,0,0.062,0.095,-0.0259025,0.0323132
144.106,0.355539,0.0233435,10.0278,-0.00186421,-0.00319579,0.000932106,0,0,0.062,0.095,-0.0259025,0.0323132
144.109,0.0404022,0.0493804,8.84448,-0.00186421,-0.00319579,0.000932106,0,0,0.062,0.095,-0.0259025,0.0323132
144.113,0.321422,0.0125696,8.95222,-0.00186421,-0.00319579,0.000932106,0,0,0.062,0.095,-0.0259025,0.0323132
144.117,0.120309,0.0421978,10.3564,-0.00186421,-0.00466053,0.000532632,0,0,0.062,0.095,-0.0259025,0.0323132
144.121,-0.170587,-0.105943,9.89763,-0.00186421,-0.00466053,0.000532632,0,0,0.062,0.095,-0.0259025,0.0323132
144.126,0.0655413,0.101454,9.03213,0.00346211,0.00506,0.00572579,0,0,0.062,0.095,-0.0259025,0.0323132
144.129,0.118513,0.0484826,10.1382,0.00346211,0.00506,0.00572579,0,0,0.062,0.095,-0.0259025,0.0323132
144.133,-0.0188543,0.0763152,9.69382,0.00346211,0.00506,0.00572579,0,0,0.062,0.095,-0.0259025,0.0323132
144.138,0.0996586,-0.00628478,9.52054,0.00239684,0.00705737,0.00559264,0,0,0.062,0.095,-0.0259025,0.0323132
144.141,0.487519,0.00269348,10.36,0.00239684,0.00705737,0.00559264,0,0,0.062,0.095,-0.0259025,0.0323132
144.146,0.194828,0.0888847,9.32661,0.00239684,0.00705737,0.00559264,0,0,0.062,0.095,-0.0259025,0.0323132
144.149,0.146346,-0.208296,9.50259,-0.00292948,-0.00506,-0.00066579,0,0,0.062,0.095,-0.0259025,0.0323132
144.153,0.200215,0.116717,9.86261,-0.00292948,-0.00506,-0.00066579,0,0,0.062,0.095,-0.0259025,0.0323132
144.158,-0.194828,-0.0466869,10.5791,-0.00133158,-0.00545948,0.000266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.161,-0.0655413,-0.0368109,10.0449,-0.00133158,-0.00545948,0.000266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.165,0.42108,-0.116717,10.0143,-0.00133158,-0.00545948,0.000266316,0,0,0.062,0.095,-0.0259025,0.0323132
144.169,-0.419285,0.015263,9.30237,0.00559264,0.00146474,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.173,0.150835,0.0035913,10.061,0.00559264,0.00146474,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.178,0.419285,0.105943,10.0628,0.00119842,0.000266316,0.00292948,0,0,0.062,0.095,-0.0259025,0.0323132
144.181,0.201113,0.169689,10.3268,0.00119842,0.000266316,0.00292948,0,0,0.062,0.095,-0.0259025,0.0323132
144.185,0.100556,0.0314239,8.71519,0.00119842,0.000266316,0.00292948,0,0,0.062,0.095,-0.0259025,0.0323132
144.19,0.225354,0.015263,9.06265,-0.000266316,-0.00732369,-0.00253,0,0,0.062,0.095,-0.0259025,0.0323132
144.193,-0.0906804,-0.092476,10.4031,-0.000266316,-0.00732369,-0.00253,0,0,0.062,0.095,-0.0259025,0.0323132
144.198,-0.26845,0.0763152,9.62469,-0.0015979,-0.00279632,0.00186421,0,0,0.062,0.095,-0.0259025,0.0323132
144.201,-0.229843,-0.254085,10.7218,-0.0015979,-0.00279632,0.00186421,0,0,0.062,0.095,-0.0259025,0.0323132
144.205,-0.0269348,0.0323217,10.088,-0.0015979,-0.00279632,0.00186421,0,0,0.062,0.095,-0.0259025,0.0323132
144.21,-0.0673369,-0.0296282,9.7037,0.00599211,0.00133158,0.00386158,0,0,0.062,0.095,-0.0259025,0.0323132
144.213,0.140959,-0.0763152,10.9086,0.00599211,0.00133158,0.00386158,0,0,0.062,0.095,-0.0259025,0.0323132
144.218,0.398635,-0.0754174,10.7236,-0.000932106,0.00386158,0.000798948,0,0,0.062,0.095,-0.0259025,0.0323132
144.221,0.377087,0.0951695,10.1679,-0.000932106,0.00386158,0.000798948,0,0,0.062,0.095,-0.0259025,0.0323132
144.225,0.0556652,-0.00718261,9.56723,-0.000932106,0.00386158,0.000798948,0,0,0.062,0.095,-0.0259025,0.0323132
144.23,0.226252,-0.0610521,10.1382,-0.00266316,-0.00532632,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.233,0.0260369,0.158915,10.2999,-0.00266316,-0.00532632,-0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.238,-0.0942717,-0.0655413,10.0341,0.000399474,0.00186421,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.241,-0.342969,-0.0457891,9.35534,0.000399474,0.00186421,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.245,-0.409408,-0.0700304,9.21169,0.000399474,0.00186421,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.25,0.226252,0.0897826,10.167,0.00545948,0.00372842,0.00452737,0,0,0.062,0.095,-0.0259025,0.0323132
144.253,-0.135572,-0.0341174,10.0871,0.00545948,0.00372842,0.00452737,0,0,0.062,0.095,-0.0259025,0.0323132
144.257,0.367211,0.0493804,10.4938,-0.00239684,0.00426106,0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.262,0.0475848,-0.0870891,8.63888,-0.00239684,0.00426106,0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.265,-0.121206,-0.0511761,10.0251,-0.00239684,0.00426106,0.00133158,0,0,0.062,0.095,-0.0259025,0.0323132
144.27,0.11133,0.11582,10.2855,-0.00133158,-0.00732369,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.273,-0.0395043,-0.0323217,10.7775,-0.00133158,-0.00732369,0.00173105,0,0,0.062,0.095,-0.0259025,0.0323132
144.277,-0.451606,-0.0574608,10.492,-0.000266316,0.00213053,0.00359527,0,0,0.062,0.095,-0.0259025,0.0323132
144.282,0.0134674,0.123002,9.98831,-0.000266316,0.00213053,0.00359527,0,0,0.062,0.095,-0.0259025,0.0323132
144.285,-0.376189,-0.0915782,9.51965,-0.000266316,0.00213053,0.00359527,0,0,0.062,0.095,-0.0259025,0.0323132
