t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0 0.877583 0.479426 0 0 0 0 0 0 0.804658 -0.67173 0 8.25483 5.30037 1 0 0 
0.005 0.877583 0.479417 0.00257049 -0.000509292 0 0 0 -0.00657076 0.804657 -0.671712 -0.0490496 8.25466 5.3004 0.999988 0.00499998 0.0015708 
0.01 0.877586 0.47939 0.00514091 -0.00101846 0 0 0 -0.0131413 0.804652 -0.671656 -0.0980967 8.25415 5.30051 0.99995 0.00999983 0.00314159 
0.015 0.877591 0.479346 0.00771122 -0.00152738 0 0 0 -0.0197115 0.804643 -0.671564 -0.147139 8.25331 5.3007 0.999888 0.0149994 0.00471239 
0.02 0.877597 0.479284 0.0102813 -0.00203594 0 0 0 -0.026281 0.804632 -0.671435 -0.196174 8.25212 5.30096 0.9998 0.0199987 0.00628319 
0.025 0.877606 0.479204 0.0128512 -0.002544 0 0 0 -0.0328497 0.804617 -0.671269 -0.245199 8.2506 5.30129 0.999688 0.0249974 0.00785398 
0.03 0.877616 0.479107 0.0154208 -0.00305146 0 0 0 -0.0394175 0.804598 -0.671066 -0.294212 8.24873 5.30169 0.99955 0.0299955 0.00942478 
0.035 0.877628 0.478992 0.01799 -0.00355817 0 0 0 -0.0459839 0.804576 -0.670826 -0.34321 8.24653 5.30217 0.999388 0.0349929 0.0109956 
0.04 0.877642 0.478859 0.0205588 -0.00406403 0 0 0 -0.052549 0.804551 -0.670549 -0.392191 8.24399 5.30272 0.9992 0.0399893 0.0125664 
0.045 0.877657 0.478709 0.0231271 -0.00456891 0 0 0 -0.0591124 0.804523 -0.670236 -0.441152 8.24111 5.30335 0.998988 0.0449848 0.0141372 
0.05 0.877675 0.478541 0.0256948 -0.00507268 0 0 0 -0.065674 0.804491 -0.669885 -0.490092 8.2379 5.30405 0.99875 0.0499792 0.015708 
0.055 0.877694 0.478355 0.028262 -0.00557523 0 0 0 -0.0722336 0.804455 -0.669498 -0.539006 8.23435 5.30482 0.998488 0.0549723 0.0172788 
0.06 0.877715 0.478151 0.0308284 -0.00607643 0 0 0 -0.078791 0.804416 -0.669074 -0.587894 8.23046 5.30566 0.998201 0.059964 0.0188496 
0.065 0.877738 0.47793 0.0333942 -0.00657616 0 0 0 -0.0853459 0.804374 -0.668614 -0.636753 8.22623 5.30657 0.997888 0.0649542 0.0204204 
0.07 0.877763 0.477692 0.0359591 -0.00707431 0 0 0 -0.0918981 0.804327 -0.668116 -0.68558 8.22167 5.30756 0.997551 0.0699428 0.0219911 
0.075 0.877789 0.477435 0.0385232 -0.00757074 0 0 0 -0.0984476 0.804277 -0.667582 -0.734373 8.21678 5.30861 0.997189 0.0749297 0.0235619 
0.08 0.877818 0.477161 0.0410864 -0.00806534 0 0 0 -0.104994 0.804224 -0.667012 -0.783129 8.21155 5.30974 0.996802 0.0799147 0.0251327 
0.085 0.877848 0.47687 0.0436486 -0.00855798 0 0 0 -0.111537 0.804167 -0.666404 -0.831846 8.20598 5.31094 0.99639 0.0848977 0.0267035 
0.09 0.87788 0.476561 0.0462098 -0.00904855 0 0 0 -0.118077 0.804106 -0.665761 -0.880522 8.20008 5.3122 0.995953 0.0898786 0.0282743 
0.095 0.877913 0.476234 0.0487698 -0.00953692 0 0 0 -0.124613 0.804041 -0.66508 -0.929154 8.19384 5.31354 0.995491 0.0948572 0.0298451 
0.1 0.877949 0.47589 0.0513288 -0.010023 0 0 0 -0.131145 0.803972 -0.664363 -0.97774 8.18728 5.31494 0.995004 0.0998334 0.0314159 
0.105 0.877986 0.475528 0.0538864 -0.0105066 0 0 0 -0.137673 0.803899 -0.66361 -1.02628 8.18038 5.31641 0.994493 0.104807 0.0329867 
0.11 0.878024 0.475149 0.0564429 -0.0109877 0 0 0 -0.144197 0.803822 -0.66282 -1.07476 8.17315 5.31795 0.993956 0.109778 0.0345575 
0.115 0.878065 0.474752 0.0589979 -0.011466 0 0 0 -0.150716 0.803741 -0.661994 -1.1232 8.16559 5.31956 0.993395 0.114747 0.0361283 
0.12 0.878107 0.474338 0.0615516 -0.0119416 0 0 0 -0.157231 0.803656 -0.661131 -1.17157 8.1577 5.32123 0.992809 0.119712 0.0376991 
0.125 0.878151 0.473907 0.0641038 -0.0124143 0 0 0 -0.163741 0.803566 -0.660233 -1.21989 8.14947 5.32297 0.992198 0.124675 0.0392699 
0.13 0.878197 0.473457 0.0666544 -0.012884 0 0 0 -0.170246 0.803473 -0.659298 -1.26815 8.14093 5.32477 0.991562 0.129634 0.0408407 
0.135 0.878244 0.472991 0.0692035 -0.0133505 0 0 0 -0.176746 0.803375 -0.658327 -1.31635 8.13205 5.32664 0.990901 0.13459 0.0424115 
0.14 0.878293 0.472507 0.0717509 -0.0138137 0 0 0 -0.18324 0.803272 -0.657319 -1.36448 8.12285 5.32857 0.990216 0.139543 0.0439823 
0.145 0.878343 0.472006 0.0742966 -0.0142735 0 0 0 -0.189728 0.803165 -0.656276 -1.41254 8.11332 5.33056 0.989506 0.144492 0.0455531 
0.15 0.878395 0.471487 0.0768405 -0.0147298 0 0 0 -0.196211 0.803053 -0.655197 -1.46054 8.10346 5.33262 0.988771 0.149438 0.0471239 
0.155 0.878449 0.470952 0.0793826 -0.0151825 0 0 0 -0.202688 0.802936 -0.654082 -1.50846 8.09328 5.33474 0.988012 0.15438 0.0486947 
0.16 0.878504 0.470399 0.0819228 -0.0156315 0 0 0 -0.209158 0.802814 -0.652931 -1.55631 8.08278 5.33691 0.987227 0.159318 0.0502655 
0.165 0.878561 0.469828 0.084461 -0.0160766 0 0 0 -0.215622 0.802688 -0.651745 -1.60408 8.07196 5.33915 0.986418 0.164252 0.0518363 
0.17 0.878619 0.469241 0.0869972 -0.0165178 0 0 0 -0.222079 0.802556 -0.650522 -1.65177 8.06082 5.34144 0.985585 0.169182 0.0534071 
0.175 0.878679 0.468636 0.0895313 -0.0169548 0 0 0 -0.22853 0.802419 -0.649265 -1.69938 8.04935 5.34379 0.984727 0.174108 0.0549779 
0.18 0.878741 0.468014 0.0920632 -0.0173877 0 0 0 -0.234973 0.802277 -0.647971 -1.74691 8.03757 5.3462 0.983844 0.17903 0.0565487 
0.185 0.878803 0.467375 0.0945929 -0.0178162 0 0 0 -0.24141 0.802129 -0.646642 -1.79436 8.02547 5.34866 0.982936 0.183947 0.0581195 
0.19 0.878868 0.466719 0.0971204 -0.0182404 0 0 0 -0.247839 0.801976 -0.645278 -1.84171 8.01306 5.35118 0.982004 0.188859 0.0596903 
0.195 0.878933 0.466046 0.0996455 -0.0186599 0 0 0 -0.25426 0.801817 -0.643879 -1.88898 8.00033 5.35375 0.981048 0.193766 0.061261 
0.2 0.879001 0.465356 0.102168 -0.0190749 0 0 0 -0.260673 0.801653 -0.642444 -1.93615 7.98728 5.35638 0.980067 0.198669 0.0628318 
0.205 0.879069 0.464648 0.104688 -0.019485 0 0 0 -0.267079 0.801482 -0.640975 -1.98323 7.97392 5.35905 0.979061 0.203567 0.0644026 
0.21 0.879139 0.463924 0.107206 -0.0198903 0 0 0 -0.273476 0.801306 -0.63947 -2.03021 7.96026 5.36178 0.978031 0.20846 0.0659734 
0.215 0.87921 0.463183 0.109721 -0.0202906 0 0 0 -0.279865 0.801123 -0.637931 -2.0771 7.94628 5.36455 0.976976 0.213347 0.0675442 
0.22 0.879283 0.462425 0.112234 -0.0206858 0 0 0 -0.286246 0.800935 -0.636356 -2.12388 7.93199 5.36737 0.975897 0.21823 0.069115 
0.225 0.879357 0.46165 0.114743 -0.0210757 0 0 0 -0.292617 0.800739 -0.634747 -2.17056 7.9174 5.37025 0.974794 0.223106 0.0706858 
0.23 0.879432 0.460859 0.11725 -0.0214604 0 0 0 -0.29898 0.800538 -0.633104 -2.21714 7.9025 5.37316 0.973666 0.227977 0.0722566 
0.235 0.879509 0.460051 0.119754 -0.0218396 0 0 0 -0.305333 0.800329 -0.631426 -2.2636 7.8873 5.37612 0.972514 0.232843 0.0738274 
0.24 0.879586 0.459226 0.122256 -0.0222133 0 0 0 -0.311678 0.800114 -0.629714 -2.30996 7.87179 5.37913 0.971338 0.237703 0.0753982 
0.245 0.879665 0.458384 0.124754 -0.0225813 0 0 0 -0.318013 0.799892 -0.627967 -2.35621 7.85599 5.38217 0.970137 0.242556 0.076969 
0.25 0.879745 0.457525 0.127249 -0.0229436 0 0 0 -0.324338 0.799662 -0.626186 -2.40235 7.83988 5.38526 0.968912 0.247404 0.0785398 
