t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0 0.99875 0.0499792 0 0 20 5 5 0.0454982 0.210217 0.154603 -1.47971 1.13038 9.9129 0.1 0 0 
0.005 0.99875 0.0499781 0.000538626 0.000759427 20 5.03142 5.01571 0.137036 0.1667 0.289281 -1.45687 1.08881 9.78674 0.0999988 0.000999996 0.0015708 
0.01 0.998749 0.049975 0.00107724 0.00151886 19.9999 5.06283 5.03141 -0.213342 0.0453757 0.382066 -1.91454 0.760037 9.6361 0.099995 0.00199997 0.00314159 
0.015 0.998747 0.0499698 0.00161581 0.00227829 19.9998 5.09425 5.04711 0.0494523 0.26335 0.509128 -1.34533 1.17114 9.34696 0.0999888 0.00299989 0.00471239 
0.02 0.998744 0.0499626 0.00215434 0.00303773 19.9997 5.12566 5.06279 -0.351513 0.3646 -0.0493331 -1.79103 1.18695 9.61534 0.09998 0.00399973 0.00628319 
0.025 0.998741 0.0499532 0.0026928 0.00379717 19.9995 5.15708 5.07846 -0.330772 0.287272 0.36961 -1.60271 0.690584 9.0031 0.0999688 0.00499948 0.00785398 
0.03 0.998737 0.0499418 0.00323118 0.00455662 19.9993 5.18849 5.09411 -0.356939 0.141699 0.416573 -1.75633 0.423115 9.06713 0.099955 0.0059991 0.00942478 
0.035 0.998732 0.0499283 0.00376946 0.00531608 19.9991 5.21991 5.10973 0.330695 0.454156 0.249893 -1.52557 0.883282 8.16261 0.0999388 0.00699857 0.0109956 
0.04 0.998726 0.0499127 0.00430763 0.00607555 19.9988 5.25132 5.12533 0.0759972 0.199761 -0.171464 -1.84856 0.753041 8.25359 0.09992 0.00799787 0.0125664 
0.045 0.998719 0.0498951 0.00484566 0.00683504 19.9985 5.28273 5.1409 -0.306371 0.328825 0.122804 -1.64313 0.858501 8.37712 0.0998988 0.00899696 0.0141372 
0.05 0.998712 0.0498754 0.00538355 0.00759454 19.9981 5.31415 5.15643 -0.13162 0.0109409 0.204089 -1.8095 0.47135 8.27223 0.099875 0.00999583 0.015708 
0.055 0.998704 0.0498536 0.00592127 0.00835406 19.9978 5.34556 5.17193 0.196778 -0.251747 0.0667779 -1.14392 0.827669 7.95273 0.0998488 0.0109945 0.0172788 
0.06 0.998695 0.0498298 0.00645881 0.00911359 19.9973 5.37697 5.18738 -0.174275 -0.145669 0.189405 -1.77399 1.01643 7.89652 0.0998201 0.0119928 0.0188496 
0.065 0.998686 0.0498038 0.00699616 0.00987315 19.9969 5.40838 5.20279 -0.0932786 -0.0745343 0.299816 -1.42843 1.18544 7.67221 0.0997888 0.0129908 0.0204204 
