t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
81.2365231,0.348186156,0.770022863,0.000508900674,0.507533181,0.69910901,-0.134483216,0.0866413719,9.686327,-0.179485882,0.0513890233,9.69649952
81.2402758,0.346753549,0.779845591,0.000895091251,0.349519224,0.615543671,-0.11886731,0.0589103672,9.61475488,-0.170376826,0.0525192436,9.68421588
81.2441408,0.345976834,0.787254873,0.00123551233,0.489339667,0.468500564,-0.0936703994,0.0832165835,9.63546486,-0.158558507,0.0572488468,9.67670471
81.2488795,0.345775281,0.793354983,0.00157254318,0.36325069,0.601932107,-0.117226114,0.061487202,9.66664169,-0.151013502,0.0580225357,9.67486776
81.2521802,0.34524618,0.796444462,0.00173224157,0.150219131,0.704439623,-0.135300191,0.0244827813,9.68438178,-0.148898452,0.0535080026,9.67614837
81.256282,0.343775113,0.79898914,0.00182277993,0.238622964,0.544664872,-0.107272768,0.0398697599,9.67019682,-0.142155709,0.0512988096,9.67518431
81.2614431,0.342436385,0.801828763,0.00184067737,0.441847646,0.930388154,-0.174099243,0.0749687134,9.64950409,-0.14840481,0.0559293436,9.6701605
81.2641948,0.342343755,0.803566864,0.00182663336,0.421705986,0.702801714,-0.134301404,0.0714543372,9.63441465,-0.146785921,0.057711412,9.66605734
81.2687133,0.342215908,0.806543661,0.00176391757,0.270016178,0.89824613,-0.168674254,0.0452196553,9.66018019,-0.150628439,0.0555184724,9.6650256
81.2720996,0.34226606,0.808721939,0.00170014736,0.471879636,0.668890323,-0.129016072,0.0803730843,9.6738069,-0.147654239,0.0589388557,9.66623404
81.2761962,0.343166405,0.810645044,0.00163101595,0.482643252,0.695379091,-0.133509845,0.0821889026,9.66574776,-0.145365569,0.0627008895,9.66615536
81.2811802,0.344571332,0.810809245,0.00153183055,0.332296222,0.404977006,-0.0828765111,0.0561396787,9.66136915,-0.133480432,0.0614529768,9.66524504
81.2842523,0.345414796,0.809969117,0.00145414093,0.430241596,0.767124733,-0.146180792,0.0731347774,9.67731307,-0.135086532,0.0629302687,9.66677118
81.2886023,0.346822038,0.808462287,0.0013296255,0.387791525,0.558397852,-0.110117141,0.0659126565,9.7024509,-0.130838776,0.0634376281,9.67284096
81.2921954,0.348095611,0.806873473,0.00124711595,0.420445269,0.690321149,-0.132586906,0.0713837424,9.66393509,-0.131091911,0.0645882539,9.67155136
81.2961432,0.349982678,0.804845923,0.00121960083,0.514805734,0.540782688,-0.10635611,0.0876781117,9.64616917,-0.127212009,0.0682099837,9.66757007
81.300959,0.352617714,0.80151989,0.00124594713,0.385053482,0.561947697,-0.109920555,0.0651664853,9.63984152,-0.124013728,0.0676470488,9.66244131
81.3042532,0.354460839,0.79946645,0.00128874778,0.481422311,0.823010561,-0.156170795,0.0820976759,9.69072013,-0.128334876,0.0695888708,9.66624131
81.3083671,0.357179193,0.797985918,0.00137102219,0.487788534,0.804269611,-0.152483345,0.0830629456,9.66658517,-0.13225618,0.0717768331,9.66629715
81.3133605,0.35985131,0.796166629,0.00149065816,0.258320071,0.542454103,-0.107403074,0.0433738787,9.71045318,-0.127521993,0.066366447,9.67470829
81.3162067,0.360547416,0.7950231,0.00155954932,0.223627669,0.785246001,-0.148743413,0.0371749818,9.64501759,-0.130031643,0.0629142577,9.67119706
81.32086,0.360826232,0.793072577,0.00164635644,0.281985704,0.569172343,-0.110691585,0.0472335917,9.60491304,-0.126553412,0.0600941533,9.65927615
81.3242125,0.360902045,0.791648842,0.00168311726,0.410250092,0.784093258,-0.148830211,0.0695718793,9.65940795,-0.129592621,0.0613871932,9.65929413
81.3283493,0.361484009,0.790452779,0.00171209115,0.451056907,0.72579238,-0.138953399,0.0767521707,9.67555575,-0.131119739,0.0638938376,9.66194705
81.3332086,0.362694005,0.790669217,0.00171067404,0.422166305,0.95368642,-0.177626849,0.0714245351,9.62354666,-0.139785048,0.065296974,9.6547922
81.3363033,0.363579734,0.791244119,0.00168272344,0.409544836,0.497657985,-0.0992011286,0.0695944233,9.67655639,-0.134619735,0.0658439312,9.65756224
81.3407656,0.36458298,0.791157295,0.00164378449,0.31634749,0.6482221,-0.125364925,0.0533531025,9.67285699,-0.133011756,0.0636737085,9.66021963
81.3442176,0.364831502,0.791129226,0.00163200212,0.2663929,0.799124,-0.150425399,0.0444859016,9.60209914,-0.135448088,0.0609891539,9.65208803
81.348148,0.365452828,0.791397828,0.00164611664,0.568195368,0.724528917,-0.137908336,0.096705682,9.62194428,-0.135832561,0.0665707207,9.64737734
81.3530341,0.367212505,0.79066558,0.00167482593,0.44655948,0.477698887,-0.0955458257,0.075945177,9.66048427,-0.128292567,0.0683252273,9.64983041
81.3561812,0.368151574,0.789498851,0.00167414144,0.284177298,0.656159838,-0.127278984,0.0478547537,9.7095079,-0.128161663,0.0656814749,9.65753773
81.3606068,0.369489626,0.786687184,0.00169640495,0.506891753,0.351711802,-0.0740004384,0.0866890492,9.69903733,-0.118815387,0.0693066255,9.66469907
81.3641511,0.371019438,0.78360812,0.0017627993,0.474110846,0.61475049,-0.118934481,0.080500931,9.62732974,-0.118832431,0.0709086956,9.65935097
81.3681927,0.372596429,0.780287785,0.00187459556,0.338070305,0.613700599,-0.118957094,0.057035633,9.64426523,-0.118852375,0.0686891737,9.65693743
81.3728529,0.37461565,0.775298931,0.00200550924,0.538994604,0.316133195,-0.0676228645,0.0921512686,9.6793939,-0.109627792,0.0729138489,9.66098103
81.3761741,0.376642828,0.770956846,0.00208094725,0.523731795,0.575559052,-0.112768171,0.0894031687,9.67387991,-0.110052767,0.0751452836,9.66272658
81.3805717,0.378644498,0.764966514,0.00210679361,0.196963186,0.435383069,-0.088318992,0.0326673399,9.67828771,-0.106321934,0.0678534935,9.66539782
81.38525,0.380036284,0.759832467,0.00202137476,0.458189855,0.859032448,-0.161406145,0.077727617,9.63345126,-0.116272035,0.0696370994,9.65962717
81.388169,0.380555668,0.75751611,0.00191711133,0.124600992,0.503582313,-0.0999954051,0.0200793244,9.66212091,-0.114303806,0.063644395,9.65992872
