t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.01,5.58899598,0.0199578029,0.0195675188,5.81579545,-4.03511567,0.703293,1.01024,9.91843,0.134110471,0.192641989,1.89133878
0.015,5.6073189,-0.0968316979,0.0363112055,5.65858639,1.46227285,-0.232347,0.897462,9.05765,0.0642309415,0.327043646,3.25787787
0.02,5.61404225,-0.114715972,0.0621243495,5.39834444,2.54674525,-0.445854,0.943059,9.9796,-0.0330368146,0.444511201,4.53963856
0.025,5.60549423,-0.0951067836,0.0959071759,5.30899598,-1.17949864,0.204359,0.918387,9.88304,0.0122320344,0.53487426,5.55856821
0.03,5.5978037,-0.0662169094,0.136201582,6.26341576,-0.0695553739,0.0120435,1.08235,9.86153,0.0121960829,0.639272043,6.37909711
0.035,5.58977202,-0.0288023518,0.195003944,4.02448035,-1.30805925,0.220275,0.677041,9.62305,0.0518745123,0.64647418,6.99768432
0.04,5.59442122,0.00647856002,0.267149632,7.73584725,0.925009116,-0.163735,1.36504,10.0487,0.0107600787,0.783497015,7.57948046
0.045,5.60152988,0.0319457691,0.34855185,5.06180774,-0.634157277,0.106882,0.851982,9.61868,0.0290895036,0.796556371,7.96833405
0.05,5.59190646,0.0739049203,0.438503838,7.13143735,0.487164539,-0.0824394,1.20366,9.62052,0.00782213159,0.87418669,8.28338828
0.055,5.56801388,0.127262254,0.530303914,4.17040095,-1.51721137,0.263898,0.724574,9.9371,0.0566530676,0.845657146,8.59873346
0.06,5.52638167,0.165464135,0.620051382,4.278088,1.6655384,-0.2838,0.728084,9.73299,-0.00826770004,0.823237201,8.81502408
0.065,5.47879429,0.205847266,0.705366237,4.51101104,3.11591549,-0.511206,0.738596,9.36175,-0.104172668,0.807097027,8.91927888
0.07,5.43102242,0.243008073,0.782540528,5.32918484,-1.0047686,0.173365,0.91809,9.8422,-0.0512491957,0.828262203,9.09527009
