t,roll,pitch,yaw
0.005,5.72950925,0.0572955508,0.0900002112
0.01,5.72929152,0.114589841,0.179999849
0.015,5.72893629,0.171881037,0.270000061
0.02,5.72843208,0.22916765,0.360000272
0.025,5.72779037,0.286449106,0.44999991
0.03,5.72699969,0.343723114,0.540000121
0.035,5.7260715,0.400988527,0.630001479
0.04,5.72499434,0.4582442,0.72000169
0.045,5.72377967,0.515487841,0.810001901
0.05,5.72241603,0.572718877,0.900002112
0.055,5.72091488,0.629938453,0.990002323
0.06,5.71927049,0.68713683,1.08000253
0.065,5.71747713,0.744318019,1.17000275
0.07,5.71554626,0.801487748,1.25999723
0.075,5.71347216,0.85862883,1.34999744
0.08,5.71125481,0.915752722,1.43999765
0.085,5.70889422,0.972853697,1.52999786
0.09,5.7063904,1.02993175,1.61999807
0.095,5.70374333,1.08698116,1.70999828
0.1,5.70095303,1.14400765,1.79999849
0.105,5.69802521,1.20099976,1.88999871
0.11,5.69494843,1.25796896,1.97999892
0.115,5.69173414,1.31489804,2.06999913
0.12,5.6883766,1.37179848,2.15999934
0.125,5.68487583,1.42867027,2.24999955
0.13,5.68123182,1.48549623,2.33999976
0.135,5.67744457,1.54229354,2.42999997
0.14,5.67351981,1.59904501,2.52000018
0.145,5.66945181,1.6557621,2.6100004
0.15,5.66524057,1.71243335,2.70000061
0.155,5.66089182,1.7690645,2.79000082
0.16,5.6563941,1.82564982,2.88000103
0.165,5.65175887,1.88219502,2.97000124
0.17,5.64698613,1.93868866,3.06000145
0.175,5.64207016,1.99513073,3.15000166
0.18,5.63701094,2.05152697,3.24000187
0.185,5.63180848,2.10787164,3.33000209
0.19,5.62646851,2.16416474,3.4200023
0.195,5.62099104,2.22040055,3.50999678
0.2,5.61537032,2.27658479,3.59999699
0.205,5.60960637,2.33270601,3.6899972
0.21,5.6037049,2.38877566,3.77999741
0.215,5.5976602,2.44478228,3.86999762
0.22,5.59147798,2.50072588,3.95999783
0.225,5.58515826,2.55661219,4.04999805
0.23,5.57869529,2.61242974,4.13999826
0.235,5.57209482,2.66818426,4.22999847
0.24,5.56535684,2.72387003,4.31999868
0.245,5.55847561,2.77948704,4.40999889
0.25,5.55145688,2.83504103,4.4999991
0.255,5.54430064,2.89052053,4.58999931
0.26,5.53700688,2.94592555,4.67999952
0.265,5.52957562,3.00125609,4.76999974
0.27,5.52200112,3.05651787,4.85999995
0.275,5.51428911,3.11169943,4.95000016
0.28,5.50643958,3.16680079,5.04000037
0.285,5.49845828,3.22182765,5.13000058
0.29,5.49033374,3.27676858,5.21999506
0.295,5.48207169,3.33162929,5.30999527
0.3,5.47367786,3.38640978,5.39999548
0.305,5.46514079,3.44110433,5.4899957
0.31,5.45647194,3.49571294,5.57999591
0.315,5.44765984,3.5502356,5.66999612
0.32,5.43871597,3.6046666,5.76000206
0.325,5.42964032,3.65900591,5.85001373
0.33,5.42042143,3.71325929,5.9400254
0.335,5.41107076,3.76741526,6.02997977
0.34,5.40158831,3.82147956,6.11999144
0.345,5.39196835,3.87544645,6.21000312
0.35,5.38221087,3.92931594,6.30001479
0.355,5.37232162,3.98308803,6.38996916
0.36,5.36229486,4.03676272,6.47998083
0.365,5.35213632,4.09033428,6.5699925
0.37,5.34184027,4.1438027,6.66000417
0.375,5.33141817,4.19717372,6.75001584
0.38,5.32085855,4.25043587,6.83997022
0.385,5.31016716,4.30358917,6.92998189
0.39,5.29933826,4.3566336,7.01999356
0.395,5.28838331,4.4095749,7.11000523
0.4,5.27729084,4.46240161,7.2000169
0.405,5.2660666,4.51511946,7.28997127
0.41,5.2547163,4.56772271,7.37998294
0.415,5.2432285,4.62021138,7.46999461
0.42,5.23161465,4.67258545,7.56000628
0.425,5.21986901,4.72484493,7.65001795
0.43,5.2079916,4.77698409,7.73997233
